R_Eatery_Name,R_Eatery_Old_Addr,R_Eatery_Addr,R_Eatery_Latitude,R_Eatery_Longtitude,R_Eatery_Score,R_Eatery_Views,R_Eatery_Preference,R_Eatery_Reviews,R_Eatery_Bookmarks
삼원정,제주특별자치도 서귀포시 색달동 2285-7,제주특별자치도 서귀포시 색달중앙로 44,33.2814107,126.4111118,0,1876,0,0,7
백사장횟집(백사장회센터),제주특별자치도 서귀포시 표선면 표선리 45-11,제주특별자치도 서귀포시 표선면 표선당포로 19-3,33.32623,126.844284,0,1366,0,1,0
에이스쌀국수,제주특별자치도 제주시 외도일동 476-1,제주특별자치도 제주시 우정로5길 4,33.4901963,126.4312868,0,1427,1,0,4
홍삼흑돼지,제주특별자치도 서귀포시 표선면 표선리 40-33,제주특별자치도 서귀포시 표선면 표선당포로 16-6,33.32543,126.84446,0,1024,0,0,2
오솔길,제주특별자치도 제주시 건입동 1037-4,제주특별자치도 제주시 임항로 264,33.5173738,126.5382333,0,1542,0,0,1
푸주옥도남점,제주특별자치도 제주시 도남동 74,제주특별자치도 제주시 독짓골4길 4,33.491863,126.53,0,1470,0,0,0
빅토리아,제주특별자치도 제주시 도두이동 1651,제주특별자치도 제주시 서해안로 268,33.5092872,126.4742764,0,607,0,0,0
곰마에그,제주특별자치도 서귀포시 대정읍 보성리 2477,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370,33.2797405,126.2771934,0,1049,0,0,5
베이비카페 어놀,제주특별자치도 제주시 이도이동 1982-4,제주특별자치도 제주시 남광로2길 49-27 (이도이동),33.490223,126.54263,0,1425,0,0,0
모메존,제주특별자치도 제주시 도두3길 17,제주특별자치도 제주시 도두3길 17,33.50424,126.47061,0,3691,4,0,10
이가전복,제주특별자치도 제주시 삼도2동 1203-3,제주특별자치도 제주시 무근성길 6,33.517696,126.5191,0,1046,0,0,3
어림향,제주특별자치도 제주시 삼도1동 567-8,제주특별자치도 제주시 서사로24길 22,33.49855,126.51789,0,1838,0,0,0
그초록,제주특별자치도 제주시 구좌읍 행원리 1485-8,제주특별자치도 제주시 구좌읍 행원로7길 23-16,33.5562795,126.8068207,0,1708,1,0,7
티티카카,제주특별자치도 제주시 건입동 1142-1,제주특별자치도 제주시 산지로 21,33.5151532,126.5295461,0,683,0,0,2
수카사,제주특별자치도 제주시 구좌읍 행원리 701,제주특별자치도 제주시 구좌읍 행원로9길 11,33.5340986,126.7954364,0,1246,0,0,5
,제주특별자치도 제주시 이도2동 1962-8,제주특별자치도 제주시 신설로9길 8-1,33.496986,126.53534,0,869,0,0,1
오복떡집,제주특별자치도 제주시 일도1동 1480-1,제주특별자치도 제주시 동문로2길 4,33.51255,126.52686,0,1583,0,0,8
산1950화덕피자,제주특별자치도 제주시 애월읍 하귀2리 1674,제주특별자치도 제주시 애월읍 하귀미수포길 4,33.48341,126.402626,0,661,0,0,3
덕승식당(신관),제주특별자치도 서귀포시 대정읍 하모리 2126-10,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 4,33.499622,126.53119,0,932,0,0,1
원당골,제주특별자치도 제주시 삼양1동 1170,제주특별자치도 제주시 원당로 72,33.526814,126.592575,0,930,0,0,1
요요무문,제주특별자치도 제주시 구좌읍 한동리 8-11,제주특별자치도 제주시 구좌읍 해맞이해안로 1102,33.538147,126.83677,0,1092,0,0,10
사수만수횟집,제주특별자치도 제주시 도두2동 706-7,제주특별자치도 제주시 서해안로 348-1,33.5102,126.48239,0,986,0,0,1
웃뜨르우리돼지,제주특별자치도 제주시 한경면 청수리 3260-1,제주특별자치도 제주시 한경면 연명로 2,33.29326,126.23335,0,1297,0,0,7
하우스142,제주특별자치도 제주시 노형동 3702,제주특별자치도 제주시 오광로 142,33.483814,126.46174,0,700,0,0,2
컴플리트커피,제주특별자치도 제주시 연동 1523-3,제주특별자치도 제주시 국기로4길 1,33.47824,126.49136,0,818,0,0,2
커피파인더,제주특별자치도 제주시 이도이동 1766-7,제주특별자치도 제주시 서광로32길 20,33.4985811,126.5287567,0,765,0,0,0
UFO카페,제주시 애월읍 구엄리 505,제주시 애월읍 애월해안로 765,33.485504,126.38194,0,502,0,0,2
로맨스홍,제주시 애월읍 고내리 1156,제주시 애월읍 애월해안로 232-1,33.467136,126.336815,0,1127,0,0,5
퐁당,제주특별자치도 제주시 우도면 연평리 1737-3,,33.492626,126.95205,0,489,0,0,1
잇칸시타,제주특별자치도 제주시 애월읍 신엄리 950,제주특별자치도 제주시 애월읍 신엄안2길 54-1,33.4771161,126.3702605,0,868,0,0,1
탭하우스더코너,제주특별자치도 제주시 노형동 1295-16,제주특별자치도 제주시 도령로 27,33.4877957,126.4818957,0,1695,0,0,3
미들웨이,제주특별자치도 제주시 고산동산서길,제주특별자치도 제주시 고산동산서길,33.494556,126.53119,0,322,0,0,1
차롱 해모루,제주특별자치도 서귀포시 서홍동 637,제주특별자치도 서귀포시 남성중로 135,33.2639577,126.5507293,0,1391,2,0,5
재게재게옵서 카페,제주특별자치도 제주시 한림읍 협재리 2974,제주특별자치도 제주시 한림읍 비양도길 32-3,33.405247,126.22827,0,1061,0,0,0
오늘은 녹차한잔&쇼핑,제주특별자치도 서귀포시 표선면 성읍리 2197,제주특별자치도 서귀포시 표선면 중산간동로 4772,33.382686,126.7888722,0,1119,0,0,5
브와두스,제주특별자치도 제주시 연동 1498-2,제주특별자치도 제주시 국기로 35,33.478786,126.49037,0,802,0,0,1
천일각,제주특별자치도 제주시 오라3동 2401-46,제주특별자치도 제주시 서광로 112,33.493237,126.50529,0,239,0,0,0
그린정,제주특별자치도 서귀포시 중문동 2461,제주특별자치도 서귀포시 중문관광로 305,33.499622,126.53119,5,3202,1,2,7
까망돼지,제주특별자치도 서귀포시 색달동 2534-9,제주특별자치도 서귀포시 색달중앙로 21,33.28141,126.41111,0,2156,0,0,7
로드3.7 (road3.7),제주특별자치도 서귀포시 남원읍 남원리 2419-4,제주특별자치도 서귀포시 남원읍 태위로510번길 91-2,33.274681,126.6947399,0,947,0,1,2
망고버스,제주특별자치도 제주시 노형동 3803-12,제주특별자치도 제주시 노형3길 6-9,33.483097,126.477234,0,656,0,0,0
보엠,제주특별자치도 제주시 노형동 731-2,제주특별자치도 제주시 원노형로 102,33.480579,126.483966,5,1032,0,1,1
크루아창타이,제주특별자치도 제주시 노형동 3787-5,제주시 노형10길 3,33.483097,126.477234,4,367,0,1,1
바라나시 책골목,제주시 용담1동 406,제주시 동한두기길 35-2,33.516296,126.515305,0,832,0,0,1
빵장수단팥빵,제주특별자치도 제주시 연동 251-21,제주특별자치도 제주시 도령로 70,33.499622,126.53119,5,1191,0,2,5
물회영해초영,제주특별자치도 제주시 우도면 연평리 1735,제주 제주시 우도면 우도해안길 46,33.492577,126.95351,5,1895,0,1,3
해마루,제주특별자치도 서귀포시 성산읍 고성리 236,제주특별자치도 서귀포시 성산읍 일출로 84,33.4499,126.92107,0,1539,0,0,6
바람이풀에그림그린날,서귀포시 안덕면 감산리 1577-1,안덕면 감산서로 59,33.25785,126.34991,0,1196,0,0,3
보말이야기,제주특별자치도 제주시 한림읍 협재리 2984,제주특별자치도 제주시 한림읍 비양도길 14-3,33.406,126.22901,0,1673,0,0,2
