R_Stay_Name,R_Stay_Old_Addr,R_Stay_Addr,R_Stay_Latitude,R_Stay_Longtitude,R_Stay_Score,R_Stay_Views,R_Stay_Preference,R_Stay_Reviews,R_Stay_Bookmarks
추자바다 25시,제주특별자치도 제주시 추자면 묵리 280,제주특별자치도 제주시 추자면 묵리2길 48,33.94485,126.3151,0,932,0,0,0
제주노블레스관광호텔,제주특별자치도 제주시 용담2동 2761,제주특별자치도 제주시 월성로4길 19,33.501457,126.5034,5,1240,2,3,1
이디하우스n카페,제주특별자치도 제주시 구좌읍 세화리 1476-5,제주특별자치도 제주시 구좌읍 해녀박물관길 33-2,33.523987,126.86202,4,4939,0,3,10
포유펜션,제주특별자치도 서귀포시 남원읍 남원리 398-2,제주특별자치도 서귀포시 남원읍 서의로 40-6,33.2959968,126.7109459,0,1092,0,0,0
엄블랑펜션,제주특별자치도 서귀포시 안덕면 사계리 3562,제주특별자치도 서귀포시 안덕면 형제해안로132번길 15-24,33.2209524,126.2923419,0,1840,0,0,0
편운산장,제주도 서귀포시 성산읍 수산리 1687-3,제주도 서귀포시 성산읍 서성일로 898-38,33.43745,126.875175,5,2994,0,1,6
제주알호텔(R호텔),제주특별자치도 제주시 삼도1동 565-19,제주특별자치도 제주시 서광로14길 5,33.4994236,126.5179716,5,2896,3,2,1
돌빌리지펜션,제주도 제주시 애월읍 애월리 1859번지,제주시 애월읍 애월해안로 21,33.46651,126.31653,0,379,0,0,0
마빈,제주특별자치도 제주시 조천읍 북촌리 688,제주특별자치도 제주시 조천읍 일주동로 1532,33.5489689,126.6975528,0,1182,0,0,0
나무이야기게스트하우스 2호점,제주특별자치도 서귀포시 남원읍 남원리 153-3,제주특별자치도 서귀포시 남원읍 남한로21번길 9,33.28085,126.71661,0,776,0,0,1
알랑가게스트하우스,제주특별자치도 서귀포시 안덕면 사계리 2078,제주특별자치도 서귀포시 안덕면 사계남로153번길 2,33.2288607,126.3065651,4,1158,1,1,0
나바론민박,제주특별자치도 제주시 추자면 영흥리 366-3,제주특별자치도 제주시 추자면 추자로 76-1,33.9607892,126.2954045,0,1721,0,0,1
갤럭시호텔 제주,제주특별자치도 제주시 용담일동 183-2,제주특별자치도 제주시 남성로 33,33.5031446,126.512649,4,3182,1,1,0
제니아호텔,제주특별자치도 제주시 연동 282-20,제주특별자치도 제주시 은남1길 25,33.48913,126.493164,0,1048,0,0,1
