R_Spot_Name,R_Spot_Old_Addr,R_Spot_Addr,R_Spot_Latitude,R_Spot_Longtitude,R_Spot_Score,R_Spot_Views,R_Spot_Preference,R_Spot_Reviews,R_Spot_Bookmarks
애월 한담 카약,제주 제주시 애월읍 애월로1길 25,제주 제주시 애월읍 애월로1길 25,33.46246,126.30959,5,9023,3,3,91
제주성지,제주특별자치도 제주시 오현길 61,제주특별자치도 제주시 오현길 61,33.510372,126.52607,3,6045,0,1,23
제주평화박물관(전쟁평화박물관)[휴관중],제주특별자치도 한경면 청수서5길 63(청수리),제주시 한경면 청수서5길 63,33.305588,126.249275,0,9677,2,0,23
해맞이해안로,제주특별자치도 제주시 구좌읍 김녕리,제주특별자치도 제주시 구좌읍 김녕리,33.558674,126.79477,4,7469,4,6,61
천지연기정길,제주특별자치도 서귀포시 서홍동 961-34,제주특별자치도 서귀포시 서홍동 961-34,33.263958,126.55073,4,2733,0,1,12
벨리타,제주특별자치도 제주시 조천읍 중산간동로 1194,제주특별자치도 제주시 조천읍 중산간동로 1194,33.507736,126.69782,0,5984,2,0,1
민속자연사박물관,제주특별자치도 제주시 일도2동 996-1,제주특별자치도 제주시 삼성로 40,33.5061399,126.5316454,5,18842,4,13,128
세화항,제주특별자치도 제주시 구좌읍 세화리,제주특별자치도 제주시 구좌읍 세화리,33.489597,126.831665,0,1843,0,0,6
야몬딱털장,제주특별자치도 제주시 연동 302-2,,33.489136,126.497116,5,1649,0,4,10
누웨마루거리(구 바오젠),제주특별자치도 제주시 연동 273-1,제주특별자치도 제주시 신광로 47,33.48774,126.49034,5,21381,5,7,83
거슨새미오름,제주특별자치도 제주시 구좌읍 송당리 산 145,제주특별자치도 제주시 구좌읍 송당리 산 145,33.450573,126.759186,5,3978,0,3,6
알진오름(안친오름),제주특별자치도 제주시 구좌읍 송당리 880-1,제주특별자치도 제주시 구좌읍 송당리 880-1,33.477615,126.78664,5,3124,1,2,5
문석이오름,제주특별자치도 제주시 구좌읍 송당리,제주특별자치도 제주시 구좌읍 송당리,33.447876,126.79623,4,1816,1,1,1
제주신영영화박물관 무비스타,제주 서귀포시 남원읍 태위로 536,,33.27463,126.70585,4,6002,2,4,28
제주쥬티클럽,제주특별자치도 서귀포시 성산읍 고성리 206-7,제주특별자치도 서귀포시 성산읍 신양로 113,33.4445754,126.9095025,0,4324,1,0,2
두맹이골목,제주특별자치도 제주시 동문로16길 17-4,제주특별자치도 제주시 동문로16길 17-4,33.51202,126.53499,4,16286,2,6,90
